"DateTime","Positive reviews","Negative reviews"
"2015-05-13 00:00:00",,
"2015-05-14 00:00:00",105,-12
"2015-05-15 00:00:00",387,-43
"2015-05-16 00:00:00",447,-40
"2015-05-17 00:00:00",482,-46
"2015-05-18 00:00:00",517,-42
"2015-05-19 00:00:00",393,-30
"2015-05-20 00:00:00",407,-42
"2015-05-21 00:00:00",382,-20
"2015-05-22 00:00:00",386,-41
"2015-05-23 00:00:00",399,-39
"2015-05-24 00:00:00",440,-49
"2015-05-25 00:00:00",505,-54
"2015-05-26 00:00:00",404,-28
"2015-05-27 00:00:00",402,-31
"2015-05-28 00:00:00",371,-41
"2015-05-29 00:00:00",427,-58
"2015-05-30 00:00:00",480,-49
"2015-05-31 00:00:00",502,-50
"2015-06-01 00:00:00",,
"2015-06-02 00:00:00",917,-86
"2015-06-03 00:00:00",450,-41
"2015-06-04 00:00:00",489,-41
"2015-06-05 00:00:00",437,-46
"2015-06-06 00:00:00",544,-39
"2015-06-07 00:00:00",478,-58
"2015-06-08 00:00:00",452,-48
"2015-06-09 00:00:00",473,-50
"2015-06-10 00:00:00",452,-51
"2015-06-11 00:00:00",444,-33
"2015-06-12 00:00:00",456,-37
"2015-06-13 00:00:00",643,-57
"2015-06-14 00:00:00",778,-58
"2015-06-15 00:00:00",726,-65
"2015-06-16 00:00:00",650,-54
"2015-06-17 00:00:00",544,-79
"2015-06-18 00:00:00",714,-64
"2015-06-19 00:00:00",883,-83
"2015-06-20 00:00:00",683,-102
"2015-06-21 00:00:00",645,-76
"2015-06-22 00:00:00",558,-53
"2015-06-23 00:00:00",550,-51
"2015-06-24 00:00:00",533,-52
"2015-06-25 00:00:00",500,-44
"2015-06-26 00:00:00",505,-52
"2015-06-27 00:00:00",462,-52
"2015-06-28 00:00:00",399,-45
"2015-06-29 00:00:00",453,-47
"2015-06-30 00:00:00",401,-63
"2015-07-01 00:00:00",404,-42
"2015-07-02 00:00:00",442,-51
"2015-07-03 00:00:00",374,-60
"2015-07-04 00:00:00",412,-24
"2015-07-05 00:00:00",330,-38
"2015-07-06 00:00:00",358,-46
"2015-07-07 00:00:00",354,-44
"2015-07-08 00:00:00",352,-63
"2015-07-09 00:00:00",351,-36
"2015-07-10 00:00:00",363,-38
"2015-07-11 00:00:00",356,-57
"2015-07-12 00:00:00",391,-53
"2015-07-13 00:00:00",373,-27
"2015-07-14 00:00:00",409,-37
"2015-07-15 00:00:00",360,-56
"2015-07-16 00:00:00",375,-56
"2015-07-17 00:00:00",324,-55
"2015-07-18 00:00:00",332,-46
"2015-07-19 00:00:00",394,-53
"2015-07-20 00:00:00",342,-41
"2015-07-21 00:00:00",380,-51
"2015-07-22 00:00:00",494,-52
"2015-07-23 00:00:00",358,-48
"2015-07-24 00:00:00",335,-42
"2015-07-25 00:00:00",416,-54
"2015-07-26 00:00:00",371,-53
"2015-07-27 00:00:00",305,-37
"2015-07-28 00:00:00",317,-34
"2015-07-29 00:00:00",363,-44
"2015-07-30 00:00:00",406,-40
"2015-07-31 00:00:00",305,-52
"2015-08-01 00:00:00",413,-20
"2015-08-02 00:00:00",441,-45
"2015-08-03 00:00:00",385,-46
"2015-08-04 00:00:00",401,-52
"2015-08-05 00:00:00",418,-48
"2015-08-06 00:00:00",369,-55
"2015-08-07 00:00:00",350,-43
"2015-08-08 00:00:00",358,-50
"2015-08-09 00:00:00",357,-41
"2015-08-10 00:00:00",357,-35
"2015-08-11 00:00:00",373,-44
"2015-08-12 00:00:00",429,-53
"2015-08-13 00:00:00",392,-38
"2015-08-14 00:00:00",405,-30
"2015-08-15 00:00:00",394,-39
"2015-08-16 00:00:00",424,-57
"2015-08-17 00:00:00",375,-36
"2015-08-18 00:00:00",385,-37
"2015-08-19 00:00:00",427,-37
"2015-08-20 00:00:00",454,-42
"2015-08-21 00:00:00",368,-54
"2015-08-22 00:00:00",422,-57
"2015-08-23 00:00:00",395,-58
"2015-08-24 00:00:00",451,-61
"2015-08-25 00:00:00",386,-31
"2015-08-26 00:00:00",380,-53
"2015-08-27 00:00:00",395,-39
"2015-08-28 00:00:00",381,-29
"2015-08-29 00:00:00",350,-57
"2015-08-30 00:00:00",347,-52
"2015-08-31 00:00:00",370,-51
"2015-09-01 00:00:00",316,-26
"2015-09-02 00:00:00",303,-28
"2015-09-03 00:00:00",547,-68
"2015-09-04 00:00:00",381,-59
"2015-09-05 00:00:00",385,-46
"2015-09-06 00:00:00",430,-80
"2015-09-07 00:00:00",391,-45
"2015-09-08 00:00:00",318,-45
"2015-09-09 00:00:00",328,-17
"2015-09-10 00:00:00",425,-162
"2015-09-11 00:00:00",418,-398
"2015-09-12 00:00:00",418,-307
"2015-09-13 00:00:00",408,-291
"2015-09-14 00:00:00",342,-196
"2015-09-15 00:00:00",311,-109
"2015-09-16 00:00:00",308,-96
"2015-09-17 00:00:00",361,-112
"2015-09-18 00:00:00",332,-106
"2015-09-19 00:00:00",305,-99
"2015-09-20 00:00:00",345,-222
"2015-09-21 00:00:00",354,-369
"2015-09-22 00:00:00",273,-103
"2015-09-23 00:00:00",295,-73
"2015-09-24 00:00:00",247,-91
"2015-09-25 00:00:00",228,-83
"2015-09-26 00:00:00",337,-97
"2015-09-27 00:00:00",335,-92
"2015-09-28 00:00:00",313,-67
"2015-09-29 00:00:00",242,-53
"2015-09-30 00:00:00",244,-48
"2015-10-01 00:00:00",245,-41
"2015-10-02 00:00:00",230,-74
"2015-10-03 00:00:00",274,-97
"2015-10-04 00:00:00",487,-108
"2015-10-05 00:00:00",377,-102
"2015-10-06 00:00:00",358,-102
"2015-10-07 00:00:00",303,-88
"2015-10-08 00:00:00",272,-67
"2015-10-09 00:00:00",319,-50
"2015-10-10 00:00:00",340,-96
"2015-10-11 00:00:00",326,-79
"2015-10-12 00:00:00",304,-58
"2015-10-13 00:00:00",235,-40
"2015-10-14 00:00:00",252,-45
"2015-10-15 00:00:00",258,-40
"2015-10-16 00:00:00",247,-66
"2015-10-17 00:00:00",328,-68
"2015-10-18 00:00:00",282,-99
"2015-10-19 00:00:00",308,-76
"2015-10-20 00:00:00",230,-26
"2015-10-21 00:00:00",300,-40
"2015-10-22 00:00:00",283,-50
"2015-10-23 00:00:00",248,-51
"2015-10-24 00:00:00",309,-63
"2015-10-25 00:00:00",396,-51
"2015-10-26 00:00:00",314,-70
"2015-10-27 00:00:00",303,-75
"2015-10-28 00:00:00",289,-46
"2015-10-29 00:00:00",242,-59
"2015-10-30 00:00:00",317,-85
"2015-10-31 00:00:00",595,-109
"2015-11-01 00:00:00",530,-95
"2015-11-02 00:00:00",379,-78
"2015-11-03 00:00:00",388,-50
"2015-11-04 00:00:00",386,-81
"2015-11-05 00:00:00",345,-59
"2015-11-06 00:00:00",347,-80
"2015-11-07 00:00:00",370,-73
"2015-11-08 00:00:00",373,-94
"2015-11-09 00:00:00",308,-53
"2015-11-10 00:00:00",320,-41
"2015-11-11 00:00:00",297,-26
"2015-11-12 00:00:00",359,-61
"2015-11-13 00:00:00",309,-32
"2015-11-14 00:00:00",398,-53
"2015-11-15 00:00:00",351,-75
"2015-11-16 00:00:00",412,-62
"2015-11-17 00:00:00",300,-55
"2015-11-18 00:00:00",284,-64
"2015-11-19 00:00:00",333,-49
"2015-11-20 00:00:00",326,-45
"2015-11-21 00:00:00",306,-41
"2015-11-22 00:00:00",336,-58
"2015-11-23 00:00:00",356,-71
"2015-11-24 00:00:00",315,-56
"2015-11-25 00:00:00",319,-45
"2015-11-26 00:00:00",323,-38
"2015-11-27 00:00:00",347,-47
"2015-11-28 00:00:00",357,-45
"2015-11-29 00:00:00",406,-65
"2015-11-30 00:00:00",376,-46
"2015-12-01 00:00:00",388,-38
"2015-12-02 00:00:00",377,-33
"2015-12-03 00:00:00",404,-48
"2015-12-04 00:00:00",335,-42
"2015-12-05 00:00:00",343,-38
"2015-12-06 00:00:00",392,-66
"2015-12-07 00:00:00",443,-58
"2015-12-08 00:00:00",335,-47
"2015-12-09 00:00:00",326,-50
"2015-12-10 00:00:00",363,-34
"2015-12-11 00:00:00",300,-44
"2015-12-12 00:00:00",386,-70
"2015-12-13 00:00:00",374,-64
"2015-12-14 00:00:00",393,-63
"2015-12-15 00:00:00",311,-53
"2015-12-16 00:00:00",351,-56
"2015-12-17 00:00:00",424,-46
"2015-12-18 00:00:00",443,-69
"2015-12-19 00:00:00",363,-83
"2015-12-20 00:00:00",349,-77
"2015-12-21 00:00:00",387,-50
"2015-12-22 00:00:00",342,-53
"2015-12-23 00:00:00",541,-78
"2015-12-24 00:00:00",877,-104
"2015-12-25 00:00:00",697,-77
"2015-12-26 00:00:00",432,-57
"2015-12-27 00:00:00",599,-69
"2015-12-28 00:00:00",634,-90
"2015-12-29 00:00:00",592,-105
"2015-12-30 00:00:00",609,-97
"2015-12-31 00:00:00",577,-76
"2016-01-01 00:00:00",,
"2016-01-02 00:00:00",1112,-167
"2016-01-03 00:00:00",752,-93
"2016-01-04 00:00:00",695,-103
"2016-01-05 00:00:00",605,-82
"2016-01-06 00:00:00",543,-96
"2016-01-07 00:00:00",511,-87
"2016-01-08 00:00:00",498,-67
"2016-01-09 00:00:00",473,-59
"2016-01-10 00:00:00",466,-80
"2016-01-11 00:00:00",520,-70
"2016-01-12 00:00:00",450,-70
"2016-01-13 00:00:00",424,-51
"2016-01-14 00:00:00",395,-63
"2016-01-15 00:00:00",377,-54
"2016-01-16 00:00:00",446,-56
"2016-01-17 00:00:00",431,-51
"2016-01-18 00:00:00",372,-47
"2016-01-19 00:00:00",410,-58
"2016-01-20 00:00:00",366,-62
"2016-01-21 00:00:00",398,-57
"2016-01-22 00:00:00",417,-50
"2016-01-23 00:00:00",416,-67
"2016-01-24 00:00:00",537,-90
"2016-01-25 00:00:00",456,-66
"2016-01-26 00:00:00",396,-77
"2016-01-27 00:00:00",390,-51
"2016-01-28 00:00:00",491,-93
"2016-01-29 00:00:00",591,-99
"2016-01-30 00:00:00",520,-60
"2016-01-31 00:00:00",590,-74
"2016-02-01 00:00:00",491,-86
"2016-02-02 00:00:00",442,-57
"2016-02-03 00:00:00",430,-57
"2016-02-04 00:00:00",472,-57
"2016-02-05 00:00:00",466,-61
"2016-02-06 00:00:00",468,-38
"2016-02-07 00:00:00",441,-73
"2016-02-08 00:00:00",470,-78
"2016-02-09 00:00:00",435,-38
"2016-02-10 00:00:00",412,-53
"2016-02-11 00:00:00",455,-68
"2016-02-12 00:00:00",428,-62
"2016-02-13 00:00:00",500,-82
"2016-02-14 00:00:00",597,-59
"2016-02-15 00:00:00",431,-58
"2016-02-16 00:00:00",397,-47
"2016-02-17 00:00:00",373,-54
"2016-02-18 00:00:00",406,-45
"2016-02-19 00:00:00",497,-80
"2016-02-20 00:00:00",413,-52
"2016-02-21 00:00:00",511,-54
"2016-02-22 00:00:00",475,-76
"2016-02-23 00:00:00",453,-64
"2016-02-24 00:00:00",456,-60
"2016-02-25 00:00:00",449,-76
"2016-02-26 00:00:00",393,-34
"2016-02-27 00:00:00",432,-53
"2016-02-28 00:00:00",481,-64
