,Date,Predicted_Positive,Predicted_Negative
0,2024-06-01,575.19,216.97
1,2024-06-02,654.33,241.05
2,2024-06-03,675.32,227.15
3,2024-06-04,702.35,219.35
4,2024-06-05,691.34,233.84
5,2024-06-06,694.4,224.56
6,2024-06-07,689.53,215.02
7,2024-06-08,718.75,225.72
8,2024-06-09,731.28,283.03
9,2024-06-10,729.77,215.13
10,2024-06-11,715.61,200.5
11,2024-06-12,712.06,211.67
12,2024-06-13,711.36,198.75
13,2024-06-14,734.87,209.3
14,2024-06-15,739.25,197.96
15,2024-06-16,730.59,207.9
16,2024-06-17,718.07,197.89
17,2024-06-18,715.6,207.13
18,2024-06-19,720.61,198.21
19,2024-06-20,739.75,206.7
20,2024-06-21,738.1,198.66
21,2024-06-22,726.82,206.4
22,2024-06-23,717.63,199.11
23,2024-06-24,718.04,206.14
24,2024-06-25,726.88,199.52
25,2024-06-26,740.94,205.89
26,2024-06-27,734.56,199.86
27,2024-06-28,723.19,205.64
28,2024-06-29,717.75,200.16
29,2024-06-30,721.13,205.39
