DateTime;Positive reviews;Negative reviews
31/05/2024;414;156
01/06/2024;424;122
02/06/2024;492;127
03/06/2024;524;158
04/06/2024;542;176
05/06/2024;536;185
06/06/2024;548;173
07/06/2024;528;158
08/06/2024;561;165
09/06/2024;581;162
10/06/2024;568;165
11/06/2024;539;160
12/06/2024;598;175
13/06/2024;564;180
14/06/2024;573;176
15/06/2024;567;190
16/06/2024;556;191
17/06/2024;553;192
18/06/2024;544;174
19/06/2024;520;158
20/06/2024;558;166
21/06/2024;576;163
22/06/2024;564;165
23/06/2024;539;163
24/06/2024;589;173
25/06/2024;557;177
26/06/2024;569;174
27/06/2024;565;188
28/06/2024;555;190
29/06/2024;552;191
30/06/2024;544;173
